nation,panoID,options,answer-type
Vatican,CAoSLEFGMVFpcE95NmZiRjA1MWZXNDk1Q2tuNVJMd0pndVpGUV9Db0FZMkJTS21u,"['Italy', 'San Marino', 'Monaco']",country
Portugal,OC7wNOoNM79aK0JfB5-L5Q,"['Spain', 'Morocco', 'France']",country
Serbia,fRlOCIlcGeL75dzrP_OjMg,"['Hungary', 'Romania', 'Bulgaria']",country
Senegal,G4Y7YqWRUAJd55qHI8cOyA,"['Guinea', 'Mauritania', 'Mali']",country
Italy,aqGdZ15BhPbdALuCQ4lZrg,"['France', 'Switzerland', 'Austria']",country
Namibia,CAoSLEFGMVFpcE5ZaDFrTG03Q05DZlBHeDFtQTUyZlRmQlVIODNITDlpaktpaTQ3,"['South Africa', 'Botswana', 'Angola']",country
U.K.,CAoSLEFGMVFpcFB1OHJmNjFpZUU4ekx2Tnh5ZV9HUWI5M3R3ZVczMU5scTMtcWdf,"['France', 'Netherlands', 'Ireland']",country
Chile,qP9UitkXsYV9dtkg_BOrVg,"['Argentina', 'Bolivia', 'Peru']",country
Afghanistan,CAoSLEFGMVFpcE84aHhMWmRJTWVPM19nckthS0dIX3N1WWdtNnZuYjdwV042M215,"['Pakistan', 'Tajikistan', 'Iran']",country
Guatemala,c3gfHS9-VvcyU9CVA1u_qA,"['Mexico', 'Belize', 'El Salvador']",country
France,sLdJFpKNxsxcAaxVRK8V3Q,"['Belgium', 'Luxembourg', 'Spain']",country
Norway,ST04M1u3MLcwtNojEOYM7w,"['Sweden', 'Finland', 'Russia']",country
Laos,0nbomZpmNGeYp0wFPg8lnw,"['Thailand', 'Vietnam', 'Cambodia']",country
France,1Z18q7CeDEXVyEtW9bAa5g,"['Spain', 'Luxembourg', 'Belgium']",country
Senegal,0Qlz08QUdvhtmQ4F7sfc6g,"['Mauritania', 'Mali', 'Guinea']",country
Russia,hRdwVwPxpFb_C84G7HRn8Q,"['China', 'Mongolia', 'Kazakhstan']",country
Guinea,CAoSLEFGMVFpcFA0alVTZzhMWVBOVlQ1Uk5MMmpOaUY4RnVQSHB0NURmN1BOWGha,"['Senegal', 'Sierra Leone', 'Liberia']",country
Cambodia,KBE1YmJ5VzntEIlHvab-Qw,"['Vietnam', 'Thailand', 'Laos']",country
Tunisia,el-Z5526jnr6MXgvHbYRxA,"['Algeria', 'Libya', 'Italy']",country
Tunisia,ga_BucNHKKWAOFqNp4shDA,"['Algeria', 'Libya', 'Italy']",country
U.K.,mwBD_KUGnHDonpJKEb3iuQ,"['Ireland', 'France', 'Australia']",country
Senegal,D-mnkg5ZpHS9OvHi6JtDuw,"['Guinea', 'Mali', 'Mauritania']",country
Honduras,CAoSLEFGMVFpcE9GTWdDYkZoSFd1NnF4eEZvNnd2dS1kcXVpa2NId3Q0dm50d3p2,"['Guatemala', 'El Salvador', 'Nicaragua']",country
Canada,BDb2wFccYuVOg_MGw0LJFA,"['USA', 'Greenland', 'Russia']",country
Palestine,xCGdurpb9znLfvo9lw_K7Q,"['Israel', 'Jordan', 'Egypt']",country
