BVID,key_clues,answer,answer_type,hint
BV1tz4y1x7aj,"[""The railway is available, suggesting a subway railway above ground."", ""The red flag is probably China's national flag."", ""Two chinese characters are visible \""人生\""."", ""The mountain in the background is a Karst topography.""]","Douguan Station, Guiyang, Guizhou, China",street,"[""The image is taken in China.""]"
BV1u94y1L74z,"[""The lush, broad-leaved evergreen trees indicate a subtropical or tropical climate, narrowing the search to Southern China."", ""A scooter's shadow is used to deduce that the road is oriented on an east or west axis."", ""A large, white, arched structure in the distance is identified as a major bridge over a river."", ""A high concentration of mini electric vehicles points specifically to the city of Liuzhou, their manufacturing hub.""]","Liuzhou, Guangxi, China",city,"[""The image is taken in China""]"
BV1ux4y1Y7rG,"[""The cars are driving on the right-hand side of the road, which eliminates countries that drive on the left."", ""The shadow cast by the lamppost points to the north, indicating the location is in the Northern Hemisphere.""]",Tunisia,country,"[""The image is taken in one of the following countries: Argentina, South Africa, Indonesia, and Tunisia""]"
BV1vZ421u7W4,"[""The terrain consists of numerous low, rolling hills."", ""A wide river with a prominent and unique S-shaped meander is the central feature."", ""A small-to-medium-sized city is located on the bank of the river, situated within one of its bends."", ""A dam or weir is visible downstream from the main urban area, serving as a key confirmation point.""]","Wusheng County, Guang'an, Sichuan, China.",county,"[""The image is taken in China.""]"
BV1wV411A7Yv,"[""The image shows a very long, curving, cable-stayed bridge crossing a large bay or river estuary."", ""The bridge originates from a densely populated coastal urban area that includes industrial zones and a port."", ""The bridge connects the mainland to a large island, with faint mountains visible in the distance.""]","Xiamen, China",city,"[""The image is taken in China""]"
BV1wc411R7pe,"[""The green and silver taxi was identified as the most promising clue for determining the location."", ""The first letter on the partially visible license plate was deduced to be 'X'."", ""The blurry area code on the taxi's roof light was analyzed, revealing the third digit as '2' and the fourth as a '6', '8', or '9'.""]","Wusheng, Guangan City, Sichuan, China",county,"[""The image is taken in China""]"
BV1wf421973L,"[""The photo features a riverlake, a bridge, distant hills, and an airplane on its final landing approach.""]","Wuhan, Hubei, China",city,"[""the image was taken in the evening at about 6:10PM"", ""The image is taken on a high-speed train"", ""The train route is from Jiangyin, Jiangsu to Changsha, Hunan.""]"
BV1xPTKz8Eph,"[""The road's width, having six lanes in one direction, indicates it is a major road in a large city."", ""The presence of Mango tree."", ""Decorations of small national flags and red lanterns on street lights suggest the photo was taken around China's National Day holiday."", ""Distinctive infrastructure, specifically the Y-shaped street light poles and a bus stop with a wavy green roof and blue vertical lights, are noted as key visual markers.""]","Zhuhai, Guangdong, China",city,"[""The image is taken in China.""]"
BV1xh4y1D72g,"[""The plane is from Shenzhen Airlines, and the flight number is B-5441"", ""The organized farmland and villages. It is a plateau.""]","Huyi District, Xi'an, ShannXi, China",city,"[""The image is taken on 820 2023"", ""The image is taken in China""]"
BV1Ch411P77o,"[""Palm trees in the image."", ""Men waiting on motorcycles are identified as motorcycle taxis (摩的)."", ""The side road runs from southeast to northwest, indicating the main road is an east-west artery."", ""The street features a curb with a black-and-yellow diagonal stripe pattern and a white metal fence with an arched-top design."", ""A lamppost has a unique blue and white striped pattern on its pole."", ""Tall apartment buildings with pointed red roofs are visible in the background."", ""Red, abstract tree-like sculptures are present in a nearby plaza.""]","Maoming Road, Maonan District, Maoming City, Guangdong, China",street,"[""The image is taken in a \""fourth-tier city\"" in China""]"
BV1Ci42167bZ,"[""A large, white, neoclassical building with a green circular logo is identified as a major branch of the Agricultural Bank of China."", ""A prominent mountain with steep, rocky slopes in the background is identified as a Karst landform."", ""South-facing solar water heaters on an adjacent roof.""]","Agricultural Bank of China, Jinchengjiang District, Hechi City, Guangxi, China",street,"[""the image is likely taken in Guangxi""]"
BV1D841197JD,"[""The train is identified as being white with a red horizontal stripe and a black front, operating on an elevated track."", ""The residential buildings are observed running parallel to the tracks."", ""The background features a unique, round-fronted commercial building and specific residential buildings.""]","Furong South Road, Tianxin District, Changsha City, Hunan, China",street,"[""The image is taken in China""]"
BV1Dh4y1Y7T7,"[""There are symmetrical subway station entrances, which have a distinctive, large, diamond-shaped geometric pattern on their glass-paneled design."", ""The shadows in the photo suggest the road runs in a north-south direction.""]","Dashatian Station, Yuxiang Avenue, Nanning, Guangxi, China",street,"[""The image is taken in a southern city of China.""]"
BV1Du4y1D74S,"[""The landscape is dry, arid, and mountainous with sparse vegetation."", ""The road features a single, solid yellow centerline."", ""The compass and the shadow in the image could help deduce the sun position.""]",Peru,country,"[""The image is taken in one of the following four countries: A.Mexico B. Nepal C. Peru D. Portugal""]"
BV1Ek4y1v7AC,"[""The decorative pattern on the black roadside railing."", ""The presence of old, dated residential buildings indicates older urban districts."", ""The road layout is identified as a wide, multi-lane thoroughfare where at least three road sections are parallel or converge."", ""An analysis of sun and shadows is used to deduce that the road has a general East-West orientation.""]","Beijing East Road, Yunyan District, Guiyang City, Guizhou, China",street,"[""The image is taken in China.""]"
BV1Em4y137pm,"[""The script on a bus sign is identified as Bengali."", ""The vehicle license plates appear to be the shorter, squarer format characteristic."", ""The streets are filled with green-colored auto-rickshaws.""]",Bangladesh,country,"[""The image is taken in one of the four countries: A: India B: Burundi C: Pakistan D: Bangladesh""]"
BV1Eu411t7iK,"[""The presence of a palm or coconut tree."", ""The unique architecture, waterfront, and organized public access pointed to the location being a public landmark or tourist park."", ""A partially visible character on the building was deciphered as \""天\"" (tiān).""]","Sky Mountain (天空之山), Haidianwu West Road, Meilan District, Haikou City, Hainan, China ",street,"[""This image is a sunset"", ""This image is taken in China.""]"
BV1Fu411V7p6,"[""The train has cyan stripe through the surface."", ""The reflection on the photo shows it is taken from another moving vehicle on a parallel, elevated track.""]","Longyang Road, Pudong New District, Shanghai City, China",street,"[""The image is taken in China.""]"
BV1Fu4y1P74Q,"[""Visible storefronts are identified, including a convenience store named \""芙蓉兴盛\"" (Fúróng Xīngshèng) and a hardware store named \""鑫鑫五金店\"" (Xīnxīn Wǔjīn Diàn)."", ""A single Chinese character, \""湘\"" (Xiāng), is spotted on a building."", ""The photo contains a specific timestamp: November 15, 2023, at 16:10.""]","Longjiang Road, Ningxiang County, Changsha City, Hunan, China",street,"[""this image was likely taken from rainy regions in southern China.""]"
BV1WJj4zGEz7,"[""The landscape is identified as Karst topography."", ""The presence of numerous large hillside cisterns and smaller rooftop water tanks indicates the area suffers from significant water scarcity, a common feature of Karst regions."", ""The south-facing orientation of solar panels on the streetlights is used to deduce the village's north-south alignment and that the photo was taken looking north.""]","Nongjiatun, Xincheng County, Laibin City, Guangxi, China",street,"[""The image might be related to Xincheng County Experimental Middle School, China.""]"
BV1WV411F757,"[""The photograph shows a view over a flat, coastal city with aquaculture ponds"", ""A faintly visible airport is in the distance."", ""The red and yellow logo on the airplane's winglet.""]","Meilan District, Haikou City, Hainan, China",county,"[""The image is taken in China""]"
BV1XH4y1675M,"[""The solar panel heater is facing south. Meaning the road is east-west."", ""The architectural style of white walls and dark grey tiles on the buildings is identified as \""Su\"" style."", ""A distant road sign is noted for its unique design: a large, prominent white cross () in its center.""]","Xihu Avenue, Hangzhou City, Zhejiang, China",street,"[""This image might be taken in Zhejiang, China""]"
BV1Xu411A7t4,"[""The road runs adjacent to a large green space, like a park or a public square."", ""The leafless deciduous trees indicate a cold, northern climate."", ""Long shadows in the image suggest the road is oriented on a north-south axis."", ""A taxi in the traffic has a distinctive two-tone color scheme: a silver or white upper body and a yellowgold lower body and front bumper.""]","Culture Square,  Chaoyang District, Changchun City, Jilin. China",street,"[""This image is taken in the capital city of a province in China.""]"
BV1Ya4y1o7sL,"[""The city is located in a large valley and is surrounded by mountains."", ""Visible landmarks include a river, a distinctive modern bridge, and a small, isolated tree-covered hill within the urban area."", ""The city area is large, given the far top building in the background. At least a county-level place.""]","Benxi City, Liaoning, China",city,"[""This image is taken in Liaoning, China""]"
BV1Yz42187d1,"[""The photo's low-altitude, downward-looking perspective suggests it was taken from an airplane during takeoff or landing, indicating an airport is nearby."", ""The landscape is dominated by a massive number of agricultural greenhouses."", ""The presence of rolling hills and visible red soil on exposed hillsides narrows the potential location to the subtropical regions of Southern China.""]","Xundian County, Yunnan, China",county,"[""The image is taken in China.""]"
BV1Zm4y127dv,"[""The primary structure is identified as a glass subway station entrance, characterized by its design and a downward-leading escalator."", ""A reflection in the station's glass reveals a distinctive skyscraper with a narrow top and a wide, tiered base."", ""The sun's position at sunset indicates the photo was taken facing west, which helps confirm the station's orientation on the map.""]","Entrance B, International Eco-Conference Center Subway Station, Guiyang, Guizhou, China.",street,"[""The image is taken in China""]"
BV1ZwPYesE3h,"[""The background shows a hilly urban area with prominent mountains."", ""A complex highway interchange and a distinctive elevated railway with a white canopy are visible."", ""A pagoda situated on a hilltop is identified as the most unique and searchable landmark."", ""A large school campus with a sports field is located near the other landmarks.""]","Chakeng Village, Jiangmen City, Guangdong, China",street,"[""This image is likely taken in Guangdong.""]"
BV1aREpzSEG7,"[""The landscape is characterized by reddish-brown soil and lush, subtropical vegetation, suggesting a location in southern China."", ""A prominent temple complex, featuring a multi-story white pagoda next to a reddish building, serves as the main architectural clue.""]","25.5667, 100.2153",latitude & longitude,"[""The image is taken in China""]"
BV1ac411b7sx,"[""The airline is identified as China Eastern Airlines by its red and blue swallow-like logo on the winglet."", ""The aircraft's low altitude over a wide body of water indicates it is on final approach to land at a nearby airport."", ""The unique geography is analyzed, noting the combination of a dense city on the coast, large mountains directly behind it, and numerous ships in the water.""]","22.36,113.9631",latitude & longitude,"[""The image is taken in China.""]"
BV1M1421C7Nc,"[""The image shows a grid of green, rectangular plots next to a large body of water, suggesting the location is farmland or aquaculture ponds on a shoreline."", ""The presence of \""baidu\"" logo in the image suggest that this is not a natural photo but a screen capture from Baidu map.""]","35.00, 116.92",latitude & longitude,"[""This image is taken in China.""]"
BV1MND6Y8EY5,"[""The terrain shows a distinct transition between a flat, developed plain and a hilly region."", ""A large, irregularly shaped reservoir is a prominent landmark situated within the hilly area."", ""The urban area consists of buildings with gray tiled roofs and white walls, an architectural style characteristic of the Jiangnan region.""]","Cixi County-level City, Ningbo City, Zhejiang Province, China",county,"[""The image is taken in Zhejiang Province, China""]"
BV1Mk4y1a7AU,"[""The airport is identified as relatively small and set within a landscape of green, rolling hills, ruling out large hubs and flat regions."", ""A key clue is the license plate on the yellow car, which starts with \""民航 C 8,\""."", ""The presence of a distance transmission tower behind the hills."", ""The presence of a group of people on the right side hill.""]","25.76, 112.86",latitude & longitude,"[""This image is taken in China.""]"
BV1Mo4y1F7V4,"[""The setting is a paved plaza next to a wide river, with a large bridge and a modern city skyline in the background."", ""A person wearing a short-sleeved t-shirt in early May suggests a warm climate, pointing to Southern China."", ""The design of riverside railing is quite unique, which is black with a crisscross 'X' pattern.""]","23.70, 113.07",latitude & longitude,"[""This photo was taken on May 4th in Qingyuan City, Guangdong Province, China.""]"
BV1Mo4y1L7Hm,"[""Analyze the orientation of the buildings and shadows to deduce the road likely runs north-south."", ""Observe the abrupt end of the residential complex, inferring the presence of a major barrier like a river or a wide road."", ""The design of the street lamp is quite unique, which comes with a tall and sleek pole and two horizontal arms extend in opposite directions from the top.""]","Yangzhou City, Jiangsu Province, China",city,"[""This image is taken in China.""]"
BV1NH4y1R7Z8,"[""The bridge is identified as a cable-stayed design with two large pylons."", ""The bridge crosses an extremely wide river or estuary with significant large cargo ship traffic, indicating a major waterway."", ""The landscape on one bank is a flat, with numerous freight docks and piers, suggesting urban area."", ""A crucial and unique marker is a distinctly pointed piece of land or sandbar located in the river, downstream from the bridge.""]","31.75, 120.99",latitude & longitude,"[""This image is taken in China.""]"
BV1NX4y1B7aB,"[""The leafless deciduous trees suggest the location is in a temperate climate, likely Northern China."", ""The solar panels on the streetlights face south (in the Northern Hemisphere), indicating the road runs north-south and the photo was taken facing north."", ""The bus features a blue-and-white exterior with a red and green electronic display.""]","37.65, 112.38",latitude & longitude,"[""This image is taken in China.""]"
BV1Ny411e73K,"[""The geography in the photo, showing a town in a steep mountain valley with a snow-dusted peak, is characteristic of the rugged terrain of western Sichuan."", ""A unique and prominent road is constructed directly along or on stilts over the river."", ""A green football field is visible on the left side of the town, adjacent to the river."", ""A serpentine road winds up the mountain on the eastern side of the valley.""]","Heishui County, Ngawa Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China
",county,"[""This image is taken in Sichuan Province, China.""]"
BV1S94y1J7tq,"[""The presence of a reddish-brown skyscraper."", ""The presence of a body of water alongside the street."", ""The presence of an elevated railway track."", ""The elevated railway track lacks overhead power lines, indicating it is likely a metro or monorail system."", ""The most unique and searchable clue is the colorful murals painted on the concrete piers that support the track.""]","Wuhu City, Anhui Province, China",city,"[""This image is taken in China.""]"
BV16UyLYhEpS,"[""The city is situated in a valley, characterized by being surrounded by numerous mountains."", ""A prominent, wide, and winding river flows through the city."", ""A long, straight railway bridge crosses the river."", ""Parallel to the railway bridge, there are twin piers on opposing banks."", ""Across the river from the pagoda, there is a large, modern complex identified as a school or university campus.""]","Tongren City, Guizhou Province, China",city,"[""This IP address of the OP of this image is from Guizhou.""]"
BV17a4y1Q71E,"[""The landscape features numerous winding rivers, flat terrain by the water, and low-lying hills, which is characteristic of Southern China."", ""A key feature is a long, straight highway that crosses a meandering river and continues towards a very large body of water, suggesting a coastal bay or estuary.""]","Hepu County, Beihai City, Guangxi Zhuang Autonomous Region, China",county,"[""This image is taken in China.""]"
BV17z4y1F7Dk,"[""The V-shaped valley indicates upper course of a river."", ""The village built on a narrow strip of land parallel to the river at the base of the mountains suggest a steep, mountainous region and a lack of flat lands."", ""The high-angle perspective of the photo indicates it was likely taken from a bridge or an elevated highwayrailway crossing the river."", ""Low, scrubby trees grow on the mountain."", ""Vegetable fields and plants akin to a bamboo grove along the river valley.""]","29.23, 108.78",latitude & longitude,"[""This image is taken in China.""]"
BV18N411K7Xo,"[""The most prominent feature in the photo is a building with a distinctive green-lit structure, likely to be a gas station."", ""A multi-story building is partially visible through the trees to the left of the gas station."", ""The road in front of the distinctive green-lit structure is landscaped with greenery, and the trees are supported by stakes.""]","22.25, 112.84",latitude & longitude,"[""The target location is in Taishan City, Guangdong Province, China.""]"
BV18Q4y137Qv,"[""Analysis of the image identified a wide, multi-lane road next to what is likely to be a large park, with an overpass and distinctive modern buildings in the distance."", ""A minimalist, black, pole-mounted bus stop sign was identified as a key, unique clue, suggesting a suburban area."", ""The direction of shadows cast by cars was used to determine that the road runs in an east-west direction.""]","34.80, 113.77",latitude & longitude,"[""This image in taken in Henan province, China.""]"
BV18k4y1a7Uq,"[""The presence of a motorcyclist's thick leg cover."", ""Multiple taxis with a distinctive red-and-silver color scheme, cat decals, and roof signs."", ""A lamppost with a CCTV camera mounted on it."", ""A pole holding both a triangular and a rectangular road sign."", ""A blue U-turn sign visible in the distance between the bridge's support pillars.""]","31.71, 118.50",latitude & longitude,"[""This image is taken in China.""]"
BV18x4y147Pa,"[""The photograph is taken from a high vantage point, such as a hill or mountain."", ""The image shows a wide river with a distinct bend and multiple large cargo ships, indicating it is a major navigable waterway."", ""A large suspension bridge is faintly visible in the distance across the river."", ""Two small, identical pavilion-like structures can be seen on the opposite riverbank."", ""A distinct gap or inlet is visible further down the opposite riverbank.""]","Yichang City, Hubei Province, China",city,"[""This image is taken in China.""]"
